latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km
47.945,-125.587,112.7844,599.4068878,0.374717921,8.218499184,101.8825714,-346.4607239,64.40964844
47.973,-125.444,21.9024,116.4030612,0.369254172,8.149600029,101.8825714,-340.6335144,57.29857813
48.372,-123.275,1.8954,10.07334184,0.29309088,6.911111832,46.77414931,-84.14102936,10.99297559
48.397,-123.13,8.5212,45.2869898,0.279700577,6.808497906,46.77414931,-55.82889557,8.709150391
47.401,-127.814,10.5219,55.91996173,0.437289029,9.043148994,101.8825714,-2675.307129,229.5447031
47.431,-127.673,48.4866,257.6881378,0.436075956,9.019280434,101.8825714,-2662.01709,221.2615156
47.46,-127.532,86.9859,462.2975128,0.433819056,8.989988327,101.8825714,-2636.60498,211.396
47.49,-127.391,96.3819,512.2337372,0.431600988,8.954985619,101.8825714,-2599.924072,200.463125
47.519,-127.249,112.7844,599.4068878,0.429415703,8.92264843,101.8825714,-2561.478516,190.360125
47.548,-127.108,112.7844,599.4068878,0.427111536,8.889068604,101.8825714,-2530.985596,179.7611094
47.577,-126.966,112.7844,599.4068878,0.424247056,8.847039223,101.8825714,-2495.112793,169.1622031
47.606,-126.824,112.7844,599.4068878,0.420773596,8.799588203,101.8825714,-2453.311768,158.5634219
47.635,-126.682,112.7844,599.4068878,0.417216152,8.751933098,101.8825714,-2356.124268,147.9647969
47.663,-126.54,112.7844,599.4068878,0.413314164,8.697366714,101.8825714,-2293.091797,137.3663125
47.692,-126.398,112.7844,599.4068878,0.408913106,8.637517929,101.8825714,-2287.17627,126.7680391
47.72,-126.255,104.6601,556.229273,0.404466301,8.577216148,101.8825714,-1812.610229,116.36275
47.748,-126.113,88.6869,471.3376913,0.399401695,8.515943527,101.8825714,-1661.492065,105.8677969
47.776,-125.97,112.6872,598.8903061,0.393780708,8.442335129,101.8825714,-1603.0354,94.97108594
47.804,-125.827,112.7844,599.4068878,0.387084007,8.361589432,101.8825714,-1446.911499,84.38072656
47.832,-125.684,112.7844,599.4068878,0.37998715,8.275083542,101.8825714,-1105.722412,73.78860156
47.86,-125.541,112.7844,599.4068878,0.372360259,8.180882454,101.8825714,-831.8662109,63.20140625
47.887,-125.398,100.7559,535.4799107,0.364592731,8.082443237,101.8825714,-773.1539307,53.01680469
47.915,-125.254,16.8075,89.32557398,0.357360899,7.988183498,101.8825714,-419.2024231,45.13653125
48.234,-123.523,1.6038,8.523596939,0.275673598,6.43020153,18.2785909,-158.7474823,10.02980078
48.259,-123.378,6.4719,34.39572704,0.28320694,6.562353134,8.433961031,-108.2365494,13.96315918
48.285,-123.232,10.044,53.38010204,0.288599849,6.77473402,19.56947402,-77.21370697,13.61407715
47.227,-128.187,2.0493,10.89126276,0.441686511,9.109999657,103.1090389,-2704.648193,259.9552344
