,latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km,cluster_id
0,49.028,-123.286,13.0653,69.43718112,0.275788248,6.634215355,31.44152596,-142.2969666,9.739685547,-1
1,49.053999999999995,-123.13799999999999,3.6531,19.41485969,0.270920634,6.610088348,31.44152596,-44.68292618,5.595796875,-1
2,48.942,-123.242,9.7686,51.91645408,0.27455705399999997,6.62566328,31.44152596,-143.0597076,8.74684375,-1
3,48.993,-122.948,8.0919,43.00542092,0.239673078,6.218548775,31.44152596,-2.659659624,5.346195313,-1
4,48.855,-123.199,0.1701,0.904017857,0.273974836,6.629999637999999,31.44152596,-126.1428604,9.316036132999999,-1
5,48.881,-123.052,1.6767,8.911033162999999,0.274454594,6.652513504,31.44152596,-181.33332819999998,6.145765625,-1
6,48.343999999999994,-125.485,0.3969,2.109375,0.365044624,8.088775635,101.3341687,-137.77551269999998,47.90380469,0
7,48.371,-125.34,4.2039,22.34215561,0.36012646600000003,8.028438568,101.3341687,-118.0558777,41.56067969,0
8,48.398999999999994,-125.196,5.184,27.55102041,0.355057567,7.96345377,101.3341687,-167.7546844,34.61295703,0
9,48.794,-123.009,0.5508,2.927295918,0.267816782,6.597058296,5.5,21.89705849,6.197255371000001,-1
10,48.119,-126.15799999999999,3.4587,18.38169643,0.399479061,8.519908905,101.8825714,-1385.491821,95.70745313,0
11,48.147,-126.014,18.6786,99.26977041,0.395184219,8.467142105,101.8825714,-1280.782715,88.43435938,0
12,48.175,-125.87100000000001,42.363,225.1434949,0.388897479,8.393233299,101.8825714,-1014.461365,78.58925,0
13,48.203,-125.727,64.7271,344.00031889999997,0.382271588,8.312894821,101.3341687,-580.4631347999999,69.42697656,0
14,48.657,-123.259,3.2238,17.13329082,0.22065773600000002,5.8804521560000005,46.77414931,-35.38944626,6.097491699,-1
15,48.681999999999995,-123.113,1.62,8.609693878,0.22932261199999998,5.999150276,46.77414931,14.14000034,6.351141113,-1
16,48.707,-122.96600000000001,1.7415,9.255420917999999,0.264013499,6.513860226,46.77414931,37.61395264,5.968595215,-1
17,47.919,-126.68299999999999,0.0243,0.12914540800000002,0.415917188,8.739999771,101.8825714,-2139.0,134.65917190000002,0
18,47.948,-126.54,5.7834,30.73660714,0.412854314,8.698011398,101.8825714,-2141.7451170000004,126.82496090000002,0
19,47.976000000000006,-126.397,30.3183,161.1304209,0.409719557,8.658909798,101.8825714,-1975.110107,118.4915078,0
20,48.005,-126.25399999999999,72.9243,387.56536989999995,0.40498676899999997,8.596442223,101.8825714,-1825.595825,107.95,0
21,48.033,-126.111,84.8718,451.06186219999995,0.39995443799999997,8.530045508999999,101.8825714,-1686.520386,98.23122656,0
22,48.06100000000001,-125.96700000000001,96.95700000000001,515.2901786,0.39379674200000003,8.450006485,101.8825714,-1220.446167,87.18665625,0
23,48.089,-125.824,112.7844,599.4068877999999,0.387334675,8.373378753999999,101.8825714,-828.8530883999999,77.1830625,0
24,48.117,-125.68,84.9204,451.3201531,0.380655855,8.295383453,101.8825714,-343.0827026,67.92534375,0
25,47.748000000000005,-127.06200000000001,10.692,56.82397959,0.42560222700000006,8.867856026,101.8825714,-2507.79541,167.3016719,0
26,47.777,-126.92,37.3248,198.3673469,0.423937887,8.845579147,101.8825714,-2440.71582,159.7828906,0
27,47.805,-126.77799999999999,57.7125,306.7203444,0.42068496299999997,8.802332878,101.8825714,-2274.727783,149.4633125,0
28,47.833999999999996,-126.635,78.5862,417.65625,0.416827619,8.750107765,101.8825714,-2208.32373,138.8162188,0
29,47.863,-126.493,100.27799999999999,532.9400509999999,0.41289803399999997,8.698050498999999,101.8825714,-2182.481445,128.78875779999998,0
30,47.891000000000005,-126.35,110.2653,586.0188138,0.40844255700000004,8.641062737,101.8825714,-1857.546509,118.16652340000002,0
31,47.919,-126.20700000000001,112.7844,599.4068877999999,0.40339943799999994,8.573007583999999,101.8825714,-1819.06604,107.7008594,0
32,47.946999999999996,-126.064,91.4004,485.75892860000005,0.39784044,8.501214027,101.8825714,-1624.2655029999999,97.3358125,0
33,47.975,-125.921,108.8478,578.4853316000001,0.391690731,8.423740387,101.8825714,-1453.508545,86.37314063,0
34,48.003,-125.777,104.2875,554.2490433999999,0.385115206,8.341610909,101.8825714,-1050.588623,76.230875,0
35,48.031000000000006,-125.634,100.9179,536.3408801,0.37699130200000003,8.24902916,101.8825714,-401.901123,65.39403906,0
36,48.059,-125.49,0.6642,3.52997449,0.371490151,8.18219471,101.8825714,-161.93902590000002,59.73267578,0
37,48.483999999999995,-123.17299999999999,0.4536,2.410714286,0.247650012,6.360000134,46.77414931,-80.5357132,5.580226562999999,-1
38,48.534,-122.881,0.0081,0.043048469000000006,0.258264363,6.489999771,19.10512986,10.0,4.867494141,-1
39,48.559,-122.734,0.2754,1.463647959,0.250179172,6.356470108,5.5,-1.0,5.244725586,-1
40,47.545,-127.581,0.3402,1.808035714,0.43352133,8.980000496,101.8825714,-2621.452393,207.0645938,0
41,47.575,-127.44,18.5328,98.49489796,0.43208321899999996,8.962936401,101.8825714,-2602.705322,199.893625,0
42,47.604,-127.29799999999999,47.3769,251.7904974,0.43028196700000004,8.938280106,101.8825714,-2578.842773,190.04225,0
43,47.633,-127.156,87.6096,465.6122449,0.428273678,8.909550667000001,101.8825714,-2553.471191,180.1030469,0
44,47.662,-127.014,100.27799999999999,532.9400509999999,0.42581141,8.871851921000001,101.8825714,-2500.5271,169.8587344,0
