,latitude,longitude,k_cluster,count_in_cluster,Centroid_Lat,Centroid_Lon
0,49.028,-123.286,0,1755,45.34552844141069,-126.45445563139933
1,49.054,-123.138,0,1755,45.34552844141069,-126.45445563139933
2,48.942,-123.242,0,1755,45.34552844141069,-126.45445563139933
3,48.993,-122.948,0,1755,45.34552844141069,-126.45445563139933
4,48.855,-123.199,0,1755,45.34552844141069,-126.45445563139933
5,48.881,-123.052,0,1755,45.34552844141069,-126.45445563139933
6,48.344,-125.485,0,1755,45.34552844141069,-126.45445563139933
7,48.371,-125.34,0,1755,45.34552844141069,-126.45445563139933
8,48.399,-125.196,0,1755,45.34552844141069,-126.45445563139933
9,48.794,-123.009,0,1755,45.34552844141069,-126.45445563139933
10,48.119,-126.158,0,1755,45.34552844141069,-126.45445563139933
11,48.147,-126.014,0,1755,45.34552844141069,-126.45445563139933
12,48.175,-125.871,0,1755,45.34552844141069,-126.45445563139933
13,48.203,-125.727,0,1755,45.34552844141069,-126.45445563139933
14,48.657,-123.259,0,1755,45.34552844141069,-126.45445563139933
15,48.682,-123.113,0,1755,45.34552844141069,-126.45445563139933
16,48.707,-122.966,0,1755,45.34552844141069,-126.45445563139933
17,47.919,-126.683,0,1755,45.34552844141069,-126.45445563139933
18,47.948,-126.54,0,1755,45.34552844141069,-126.45445563139933
19,47.976,-126.397,0,1755,45.34552844141069,-126.45445563139933
20,48.005,-126.254,0,1755,45.34552844141069,-126.45445563139933
21,48.033,-126.111,0,1755,45.34552844141069,-126.45445563139933
22,48.061,-125.967,0,1755,45.34552844141069,-126.45445563139933
23,48.089,-125.824,0,1755,45.34552844141069,-126.45445563139933
24,48.117,-125.68,0,1755,45.34552844141069,-126.45445563139933
25,47.748,-127.062,0,1755,45.34552844141069,-126.45445563139933
26,47.777,-126.92,0,1755,45.34552844141069,-126.45445563139933
27,47.805,-126.778,0,1755,45.34552844141069,-126.45445563139933
28,47.834,-126.635,0,1755,45.34552844141069,-126.45445563139933
29,47.863,-126.493,0,1755,45.34552844141069,-126.45445563139933
30,47.891,-126.35,0,1755,45.34552844141069,-126.45445563139933
31,47.919,-126.207,0,1755,45.34552844141069,-126.45445563139933
32,47.947,-126.064,0,1755,45.34552844141069,-126.45445563139933
33,47.975,-125.921,0,1755,45.34552844141069,-126.45445563139933
34,48.003,-125.777,0,1755,45.34552844141069,-126.45445563139933
35,48.031,-125.634,0,1755,45.34552844141069,-126.45445563139933
36,48.059,-125.49,0,1755,45.34552844141069,-126.45445563139933
37,48.484,-123.173,0,1755,45.34552844141069,-126.45445563139933
38,48.534,-122.881,0,1755,45.34552844141069,-126.45445563139933
39,48.559,-122.734,0,1755,45.34552844141069,-126.45445563139933
40,47.545,-127.581,0,1755,45.34552844141069,-126.45445563139933
41,47.575,-127.44,0,1755,45.34552844141069,-126.45445563139933
42,47.604,-127.298,0,1755,45.34552844141069,-126.45445563139933
43,47.633,-127.156,0,1755,45.34552844141069,-126.45445563139933
44,47.662,-127.014,0,1755,45.34552844141069,-126.45445563139933
45,47.691,-126.872,0,1755,45.34552844141069,-126.45445563139933
46,47.72,-126.73,0,1755,45.34552844141069,-126.45445563139933
47,47.749,-126.588,0,1755,45.34552844141069,-126.45445563139933
48,47.777,-126.445,0,1755,45.34552844141069,-126.45445563139933
49,47.805,-126.303,0,1755,45.34552844141069,-126.45445563139933
50,47.834,-126.16,0,1755,45.34552844141069,-126.45445563139933
51,47.862,-126.017,0,1755,45.34552844141069,-126.45445563139933
52,47.89,-125.874,0,1755,45.34552844141069,-126.45445563139933
53,47.918,-125.731,0,1755,45.34552844141069,-126.45445563139933
54,47.945,-125.587,0,1755,45.34552844141069,-126.45445563139933
55,47.973,-125.444,0,1755,45.34552844141069,-126.45445563139933
56,48.372,-123.275,0,1755,45.34552844141069,-126.45445563139933
57,48.397,-123.13,0,1755,45.34552844141069,-126.45445563139933
58,47.401,-127.814,0,1755,45.34552844141069,-126.45445563139933
59,47.431,-127.673,0,1755,45.34552844141069,-126.45445563139933
60,47.46,-127.532,0,1755,45.34552844141069,-126.45445563139933
61,47.49,-127.391,0,1755,45.34552844141069,-126.45445563139933
62,47.519,-127.249,0,1755,45.34552844141069,-126.45445563139933
63,47.548,-127.108,0,1755,45.34552844141069,-126.45445563139933
64,47.577,-126.966,0,1755,45.34552844141069,-126.45445563139933
65,47.606,-126.824,0,1755,45.34552844141069,-126.45445563139933
66,47.635,-126.682,0,1755,45.34552844141069,-126.45445563139933
67,47.663,-126.54,0,1755,45.34552844141069,-126.45445563139933
68,47.692,-126.398,0,1755,45.34552844141069,-126.45445563139933
69,47.72,-126.255,0,1755,45.34552844141069,-126.45445563139933
70,47.748,-126.113,0,1755,45.34552844141069,-126.45445563139933
71,47.776,-125.97,0,1755,45.34552844141069,-126.45445563139933
72,47.804,-125.827,0,1755,45.34552844141069,-126.45445563139933
73,47.832,-125.684,0,1755,45.34552844141069,-126.45445563139933
74,47.86,-125.541,0,1755,45.34552844141069,-126.45445563139933
75,47.887,-125.398,0,1755,45.34552844141069,-126.45445563139933
76,47.915,-125.254,0,1755,45.34552844141069,-126.45445563139933
77,48.234,-123.523,0,1755,45.34552844141069,-126.45445563139933
78,48.259,-123.378,0,1755,45.34552844141069,-126.45445563139933
79,48.285,-123.232,0,1755,45.34552844141069,-126.45445563139933
80,47.227,-128.187,0,1755,45.34552844141069,-126.45445563139933
81,47.257,-128.046,0,1755,45.34552844141069,-126.45445563139933
82,47.287,-127.906,0,1755,45.34552844141069,-126.45445563139933
