,latitude,longitude,label
0,49.028,-123.286,-1
1,49.054,-123.138,-1
2,48.942,-123.242,-1
3,48.993,-122.948,-1
4,48.855,-123.199,-1
5,48.881,-123.052,-1
6,48.344,-125.485,0
7,48.371,-125.34,0
8,48.399,-125.196,0
9,48.794,-123.009,-1
10,48.119,-126.158,0
11,48.147,-126.014,0
12,48.175,-125.871,0
13,48.203,-125.727,0
14,48.657,-123.259,-1
15,48.682,-123.113,-1
16,48.707,-122.966,-1
17,47.919,-126.683,0
18,47.948,-126.54,0
19,47.976,-126.397,0
20,48.005,-126.254,0
21,48.033,-126.111,0
22,48.061,-125.967,0
23,48.089,-125.824,0
24,48.117,-125.68,0
25,47.748,-127.062,0
26,47.777,-126.92,0
27,47.805,-126.778,0
28,47.834,-126.635,0
29,47.863,-126.493,0
30,47.891,-126.35,0
31,47.919,-126.207,0
32,47.947,-126.064,0
33,47.975,-125.921,0
34,48.003,-125.777,0
35,48.031,-125.634,0
36,48.059,-125.49,0
37,48.484,-123.173,-1
38,48.534,-122.881,-1
39,48.559,-122.734,-1
40,47.545,-127.581,0
41,47.575,-127.44,0
42,47.604,-127.298,0
43,47.633,-127.156,0
44,47.662,-127.014,0
45,47.691,-126.872,0
46,47.72,-126.73,0
47,47.749,-126.588,0
48,47.777,-126.445,0
49,47.805,-126.303,0
50,47.834,-126.16,0
51,47.862,-126.017,0
52,47.89,-125.874,0
53,47.918,-125.731,0
54,47.945,-125.587,0
55,47.973,-125.444,0
56,48.372,-123.275,-1
57,48.397,-123.13,-1
58,47.401,-127.814,0
59,47.431,-127.673,0
60,47.46,-127.532,0
61,47.49,-127.391,0
62,47.519,-127.249,0
63,47.548,-127.108,0
64,47.577,-126.966,0
65,47.606,-126.824,0
66,47.635,-126.682,0
67,47.663,-126.54,0
68,47.692,-126.398,0
69,47.72,-126.255,0
70,47.748,-126.113,0
71,47.776,-125.97,0
72,47.804,-125.827,0
73,47.832,-125.684,0
74,47.86,-125.541,0
75,47.887,-125.398,0
76,47.915,-125.254,0
77,48.234,-123.523,-1
78,48.259,-123.378,-1
79,48.285,-123.232,-1
80,47.227,-128.187,0
81,47.257,-128.046,0
82,47.287,-127.906,0
83,47.316,-127.765,0
84,47.346,-127.624,0
85,47.375,-127.483,0
86,47.405,-127.342,0
87,47.434,-127.201,0
88,47.463,-127.06,0
89,47.492,-126.918,0
90,47.52,-126.776,0
91,47.549,-126.635,0
92,47.578,-126.493,0
93,47.606,-126.351,0
94,47.634,-126.208,0
95,47.663,-126.066,0
96,47.691,-125.923,0
97,47.718,-125.781,0
98,47.746,-125.638,0
99,47.774,-125.495,0
100,47.801,-125.352,0
101,47.829,-125.209,0
102,47.856,-125.065,0
103,47.082,-128.417,0
104,47.112,-128.277,0
105,47.142,-128.137,0
106,47.172,-127.997,0
107,47.202,-127.857,0
108,47.231,-127.716,0
109,47.261,-127.576,0
110,47.29,-127.435,0
111,47.319,-127.294,0
112,47.349,-127.153,0
113,47.378,-127.012,0
114,47.406,-126.87,0
115,47.435,-126.729,0
116,47.464,-126.587,0
117,47.492,-126.445,0
118,47.521,-126.304,0
119,47.549,-126.161,0
120,47.577,-126.019,0
121,47.605,-125.877,0
122,47.633,-125.735,0
123,47.661,-125.592,0
124,47.688,-125.449,0
125,47.716,-125.306,0
126,47.743,-125.163,0
127,47.77,-125.02,0
128,46.906,-128.786,0
129,46.937,-128.647,0
130,46.967,-128.507,0
131,46.997,-128.368,0
132,47.027,-128.228,0
133,47.057,-128.088,0
134,47.087,-127.948,0
135,47.117,-127.808,0
136,47.146,-127.667,0
137,47.176,-127.527,0
138,47.205,-127.386,0
139,47.234,-127.246,0
140,47.263,-127.105,0
141,47.292,-126.964,0
142,47.321,-126.823,0
143,47.35,-126.681,0
144,47.378,-126.54,0
145,47.407,-126.398,0
146,47.435,-126.257,0
147,47.463,-126.115,0
148,47.491,-125.973,0
149,47.519,-125.831,0
150,47.547,-125.688,0
151,47.575,-125.546,0
152,47.602,-125.403,0
153,47.63,-125.261,0
154,47.657,-125.118,0
155,46.76,-129.013,0
156,46.791,-128.875,0
157,46.821,-128.736,0
158,46.852,-128.597,0
159,46.882,-128.457,0
160,46.912,-128.318,0
161,46.942,-128.178,0
162,46.972,-128.039,0
163,47.002,-127.899,0
164,47.032,-127.759,0
165,47.061,-127.619,0
166,47.091,-127.479,0
167,47.12,-127.338,0
168,47.149,-127.198,0
169,47.178,-127.057,0
170,47.207,-126.916,0
171,47.236,-126.775,0
172,47.264,-126.634,0
173,47.293,-126.493,0
174,47.321,-126.351,0
175,47.35,-126.21,0
176,47.378,-126.068,0
177,47.406,-125.926,0
178,47.434,-125.784,0
179,47.461,-125.642,0
180,47.489,-125.5,0
181,47.517,-125.358,0
182,47.544,-125.215,0
183,47.571,-125.073,0
184,46.614,-129.24,0
185,46.645,-129.102,0
186,46.676,-128.963,0
187,46.706,-128.825,0
188,46.737,-128.686,0
189,46.767,-128.547,0
190,46.797,-128.408,0
191,46.827,-128.269,0
192,46.857,-128.129,0
193,46.887,-127.99,0
194,46.917,-127.85,0
195,46.947,-127.71,0
196,46.976,-127.57,0
197,47.005,-127.43,0
198,47.035,-127.29,0
199,47.064,-127.15,0
200,47.093,-127.009,0
201,47.122,-126.869,0
202,47.15,-126.728,0
203,47.179,-126.587,0
204,47.207,-126.446,0
205,47.236,-126.305,0
206,47.264,-126.163,0
207,47.292,-126.022,0
208,47.32,-125.88,0
209,47.348,-125.738,0
210,47.376,-125.596,0
211,47.403,-125.454,0
212,47.431,-125.312,0
213,47.458,-125.17,0
214,47.485,-125.027,0
215,46.53,-129.189,0
216,46.56,-129.051,0
217,46.591,-128.913,0
218,46.622,-128.775,0
219,46.652,-128.636,0
220,46.682,-128.497,0
221,46.713,-128.358,0
222,46.743,-128.219,0
223,46.773,-128.08,0
224,46.802,-127.941,0
225,46.832,-127.801,0
226,46.862,-127.662,0
227,46.891,-127.522,0
228,46.92,-127.382,0
229,46.95,-127.242,0
230,46.979,-127.102,0
231,47.008,-126.962,0
232,47.036,-126.821,0
233,47.065,-126.68,0
234,47.094,-126.54,0
235,47.122,-126.399,0
236,47.15,-126.258,0
237,47.179,-126.117,0
238,47.207,-125.975,0
239,47.235,-125.834,0
240,47.262,-125.692,0
241,47.29,-125.551,0
242,47.318,-125.409,0
243,47.345,-125.267,0
244,47.372,-125.125,0
245,47.399,-124.982,0
246,46.445,-129.139,0
247,46.476,-129.001,0
248,46.507,-128.863,0
249,46.537,-128.725,0
250,46.567,-128.586,0
251,46.598,-128.448,0
252,46.628,-128.309,0
253,46.658,-128.17,0
254,46.688,-128.031,0
255,46.717,-127.892,0
256,46.747,-127.753,0
257,46.777,-127.613,0
258,46.806,-127.474,0
259,46.835,-127.334,0
260,46.864,-127.194,0
261,46.893,-127.054,0
262,46.922,-126.914,0
263,46.951,-126.774,0
264,46.98,-126.633,0
265,47.008,-126.493,0
266,47.037,-126.352,0
267,47.065,-126.211,0
268,47.093,-126.07,0
269,47.121,-125.929,0
270,47.149,-125.788,0
271,47.177,-125.647,0
272,47.204,-125.505,0
273,47.232,-125.363,0
274,47.259,-125.222,0
275,47.286,-125.08,0
276,47.314,-124.938,0
277,46.391,-128.951,0
278,46.422,-128.813,0
279,46.452,-128.675,0
280,46.483,-128.537,0
281,46.513,-128.398,0
282,46.543,-128.26,0
283,46.573,-128.121,0
284,46.603,-127.982,0
285,46.633,-127.843,0
286,46.662,-127.704,0
287,46.692,-127.565,0
288,46.721,-127.426,0
289,46.75,-127.286,0
290,46.779,-127.146,0
291,46.808,-127.007,0
292,46.837,-126.867,0
293,46.866,-126.727,0
294,46.894,-126.586,0
295,46.923,-126.446,0
296,46.951,-126.306,0
297,46.979,-126.165,0
298,47.008,-126.024,0
299,47.035,-125.883,0
300,47.063,-125.742,0
301,47.091,-125.601,0
302,47.119,-125.46,0
303,47.146,-125.318,0
304,47.173,-125.176,0
305,47.201,-125.035,0
306,47.228,-124.893,0
307,46.307,-128.901,0
308,46.337,-128.763,0
309,46.368,-128.626,0
310,46.398,-128.487,0
311,46.428,-128.349,0
312,46.458,-128.211,0
313,46.488,-128.072,0
314,46.518,-127.934,0
315,46.548,-127.795,0
316,46.577,-127.656,0
317,46.607,-127.517,0
318,46.636,-127.378,0
319,46.665,-127.238,0
320,46.694,-127.099,0
321,46.723,-126.959,0
322,46.752,-126.82,0
323,46.78,-126.68,0
324,46.809,-126.54,0
325,46.837,-126.399,0
326,46.866,-126.259,0
327,46.894,-126.119,0
328,46.922,-125.978,0
329,46.95,-125.837,0
330,46.978,-125.696,0
331,47.005,-125.555,0
332,47.033,-125.414,0
333,47.06,-125.273,0
334,47.088,-125.132,0
335,47.115,-124.99,0
336,47.142,-124.848,0
337,47.169,-124.706,0
338,46.192,-128.989,0
339,46.222,-128.852,0
340,46.253,-128.714,0
341,46.283,-128.576,0
342,46.313,-128.438,0
343,46.343,-128.3,0
344,46.373,-128.162,0
345,46.403,-128.024,0
346,46.433,-127.885,0
347,46.463,-127.747,0
348,46.492,-127.608,0
349,46.522,-127.469,0
350,46.551,-127.33,0
351,46.58,-127.191,0
352,46.609,-127.051,0
353,46.638,-126.912,0
354,46.667,-126.772,0
355,46.695,-126.633,0
356,46.724,-126.493,0
357,46.752,-126.353,0
358,46.78,-126.213,0
359,46.808,-126.072,0
360,46.836,-125.932,0
361,46.864,-125.791,0
362,46.892,-125.651,0
363,46.92,-125.51,0
364,46.947,-125.369,0
365,46.975,-125.228,0
366,47.002,-125.087,0
367,47.029,-124.945,0
368,47.056,-124.804,0
369,47.083,-124.662,0
370,47.11,-124.52,0
371,47.136,-124.379,0
372,47.163,-124.237,0
373,46.107,-128.939,0
374,46.138,-128.802,0
375,46.168,-128.664,0
376,46.198,-128.527,0
377,46.229,-128.389,0
378,46.259,-128.251,0
379,46.289,-128.113,0
380,46.318,-127.975,0
381,46.348,-127.837,0
382,46.378,-127.698,0
383,46.407,-127.56,0
384,46.436,-127.421,0
385,46.466,-127.282,0
386,46.495,-127.143,0
387,46.524,-127.004,0
388,46.553,-126.865,0
389,46.581,-126.726,0
390,46.61,-126.586,0
391,46.638,-126.446,0
392,46.667,-126.306,0
393,46.695,-126.167,0
394,46.723,-126.026,0
395,46.751,-125.886,0
396,46.779,-125.746,0
397,46.806,-125.605,0
398,46.834,-125.465,0
399,46.861,-125.324,0
400,46.889,-125.183,0
401,46.916,-125.042,0
402,46.943,-124.901,0
403,46.97,-124.76,0
404,46.997,-124.618,0
405,47.024,-124.477,0
406,47.05,-124.335,0
407,47.077,-124.193,0
408,46.022,-128.89,0
409,46.053,-128.752,0
410,46.083,-128.615,0
411,46.114,-128.478,0
412,46.144,-128.34,0
413,46.174,-128.203,0
414,46.204,-128.065,0
415,46.233,-127.927,0
416,46.263,-127.789,0
417,46.293,-127.65,0
418,46.322,-127.512,0
419,46.351,-127.373,0
420,46.381,-127.235,0
421,46.41,-127.096,0
422,46.439,-126.957,0
423,46.467,-126.818,0
424,46.496,-126.679,0
425,46.525,-126.539,0
426,46.553,-126.4,0
427,46.581,-126.26,0
428,46.609,-126.12,0
429,46.637,-125.981,0
430,46.665,-125.841,0
431,46.693,-125.7,0
432,46.721,-125.56,0
433,46.748,-125.42,0
434,46.776,-125.279,0
435,46.803,-125.138,0
436,46.83,-124.997,0
437,46.857,-124.856,0
438,46.884,-124.715,0
439,46.911,-124.574,0
440,46.938,-124.433,0
441,46.964,-124.291,0
442,45.938,-128.84,0
443,45.968,-128.703,0
444,45.999,-128.566,0
445,46.029,-128.429,0
446,46.059,-128.291,0
447,46.089,-128.154,0
448,46.119,-128.016,0
449,46.149,-127.878,0
450,46.178,-127.741,0
451,46.208,-127.602,0
452,46.237,-127.464,0
453,46.266,-127.326,0
454,46.295,-127.187,0
455,46.324,-127.049,0
456,46.353,-126.91,0
457,46.382,-126.771,0
458,46.411,-126.632,0
459,46.439,-126.493,0
460,46.468,-126.354,0
461,46.496,-126.214,0
462,46.524,-126.075,0
463,46.552,-125.935,0
464,46.58,-125.795,0
465,46.608,-125.655,0
466,46.635,-125.515,0
467,46.663,-125.375,0
468,46.69,-125.234,0
469,46.717,-125.094,0
470,46.744,-124.953,0
471,46.771,-124.812,0
472,46.798,-124.671,0
473,46.825,-124.53,0
474,46.852,-124.389,0
475,46.878,-124.248,0
476,45.853,-128.791,0
477,45.884,-128.654,0
478,45.914,-128.517,0
479,45.944,-128.38,0
480,45.974,-128.243,0
481,46.004,-128.105,0
482,46.034,-127.968,0
483,46.064,-127.83,0
484,46.093,-127.693,0
485,46.123,-127.555,0
486,46.152,-127.417,0
487,46.181,-127.279,0
488,46.21,-127.14,0
489,46.239,-127.002,0
490,46.268,-126.863,0
491,46.297,-126.724,0
492,46.325,-126.586,0
493,46.354,-126.447,0
494,46.382,-126.307,0
495,46.41,-126.168,0
496,46.438,-126.029,0
497,46.466,-125.889,0
498,46.494,-125.75,0
499,46.522,-125.61,0
500,46.55,-125.47,0
501,46.577,-125.33,0
502,46.604,-125.19,0
503,46.632,-125.049,0
504,46.659,-124.909,0
505,46.686,-124.768,0
506,46.712,-124.627,0
507,46.739,-124.487,0
508,46.766,-124.346,0
509,46.792,-124.204,0
510,45.738,-128.878,0
511,45.769,-128.742,0
512,45.799,-128.605,0
513,45.829,-128.468,0
514,45.859,-128.331,0
515,45.889,-128.194,0
516,45.919,-128.057,0
517,45.949,-127.92,0
518,45.979,-127.782,0
519,46.008,-127.645,0
520,46.038,-127.507,0
521,46.067,-127.369,0
522,46.096,-127.231,0
523,46.125,-127.093,0
524,46.154,-126.955,0
525,46.183,-126.816,0
526,46.212,-126.678,0
527,46.24,-126.539,0
528,46.268,-126.4,0
529,46.297,-126.261,0
530,46.325,-126.122,0
531,46.353,-125.983,0
532,46.381,-125.844,0
533,46.409,-125.704,0
534,46.436,-125.565,0
535,46.464,-125.425,0
536,46.491,-125.285,0
537,46.519,-125.145,0
538,46.546,-125.005,0
539,46.573,-124.865,0
540,46.6,-124.724,0
541,46.626,-124.584,0
542,46.653,-124.443,0
543,46.68,-124.302,0
544,46.706,-124.161,0
545,45.654,-128.829,0
546,45.684,-128.693,0
547,45.714,-128.556,0
548,45.745,-128.42,0
549,45.775,-128.283,0
550,45.805,-128.146,0
551,45.835,-128.009,0
552,45.864,-127.872,0
553,45.894,-127.735,0
554,45.923,-127.597,0
555,45.953,-127.46,0
556,45.982,-127.322,0
557,46.011,-127.184,0
558,46.04,-127.046,0
559,46.069,-126.908,0
560,46.098,-126.77,0
561,46.126,-126.631,0
562,46.155,-126.493,0
563,46.183,-126.354,0
564,46.211,-126.216,0
565,46.239,-126.077,0
566,46.267,-125.938,0
567,46.295,-125.798,0
568,46.323,-125.659,0
569,46.351,-125.52,0
570,46.378,-125.38,0
571,46.406,-125.24,0
572,46.433,-125.101,0
573,46.46,-124.961,0
574,46.487,-124.82,0
575,46.514,-124.68,0
576,46.541,-124.54,0
577,46.567,-124.399,0
578,46.594,-124.259,0
579,46.62,-124.118,0
580,45.569,-128.78,0
581,45.6,-128.644,0
582,45.63,-128.507,0
583,45.66,-128.371,0
584,45.69,-128.234,0
585,45.72,-128.098,0
586,45.75,-127.961,0
587,45.779,-127.824,0
588,45.809,-127.687,0
589,45.838,-127.55,0
590,45.868,-127.412,0
591,45.897,-127.275,0
592,45.926,-127.137,0
593,45.955,-126.999,0
594,45.984,-126.861,0
595,46.012,-126.723,0
596,46.041,-126.585,0
597,46.069,-126.447,0
598,46.098,-126.308,0
599,46.126,-126.17,0
600,46.154,-126.031,0
601,46.182,-125.892,0
602,46.21,-125.753,0
603,46.238,-125.614,0
604,46.265,-125.475,0
605,46.293,-125.335,0
606,46.32,-125.196,0
607,46.347,-125.056,0
608,46.374,-124.916,0
609,46.401,-124.777,0
610,46.428,-124.637,0
611,46.455,-124.496,0
612,46.481,-124.356,0
613,46.508,-124.216,0
614,46.534,-124.075,0
615,45.485,-128.731,0
616,45.515,-128.595,0
617,45.545,-128.459,0
618,45.575,-128.323,0
619,45.605,-128.186,0
620,45.635,-128.05,0
621,45.665,-127.913,0
622,45.695,-127.776,0
623,45.724,-127.639,0
624,45.753,-127.502,0
625,45.783,-127.365,0
